Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,days_ago,days_ago,days_ago,days_ago,days_ago,days_ago
Ticker,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-19,227.9689483642578,202.8800048828125,175.2073211669922,412.3939208984375,145.84817504882812,342.0299987792969,228.89475383274825,203.1300048828125,176.89985394642653,414.18052617467214,147.5176944558783,346.6000061035156,224.8729502483013,199.4499969482422,173.01698373526585,407.52050466835993,142.68907730947365,334.29998779296875,227.0331781982001,202.97999572753906,176.56135042889815,413.76364252316546,147.36774356025674,345.0,35169600.0,32769000.0,18997100.0,19191700.0,309871700.0,66340700.0,365,365,365,365,365,365
2024-11-20,227.9689483642578,202.8800048828125,175.2073211669922,412.3939208984375,145.84817504882812,342.0299987792969,228.89475383274825,203.1300048828125,176.89985394642653,414.18052617467214,147.5176944558783,346.6000061035156,224.8729502483013,199.4499969482422,173.01698373526585,407.52050466835993,142.68907730947365,334.29998779296875,227.0331781982001,202.97999572753906,176.56135042889815,413.76364252316546,147.36774356025674,345.0,35169600.0,32769000.0,18997100.0,19191700.0,309871700.0,66340700.0,364,364,364,364,364,364
2024-11-21,227.49110412597656,198.3800048828125,166.89401245117188,410.6137390136719,146.62796020507812,339.6400146484375,229.12371949855563,203.49000549316406,173.3654737011491,417.4859808182417,152.84617867409492,347.989990234375,224.69375844400457,195.75,162.98125951876034,408.04785157798557,140.65967008206871,335.2799987792969,227.8494838511811,203.49000549316406,173.13647259575043,417.2075121790912,149.30720000657334,343.80999755859375,42108300.0,58800000.0,59734400.0,20780200.0,400946600.0,58011700.0,363,363,363,363,363,363
2024-11-22,228.8350372314453,197.1199951171875,164.03659057617188,414.7211608886719,141.9093017578125,352.55999755859375,229.6812162999479,199.25999450683594,165.7291386198519,415.11896888171356,147.11781483152527,361.5299987792969,227.03318893672346,196.75,163.18036592990532,408.81361962204943,141.05955459424152,337.70001220703125,227.03318893672346,198.25,165.12181631038618,409.1219230929671,145.88815647311117,341.0899963378906,38168300.0,31530800.0,38604600.0,24814600.0,236406200.0,89140700.0,362,362,362,362,362,362
2024-11-23,229.83053080240884,198.5633290608724,164.99569193522134,415.31456502278644,139.9332021077474,347.90333048502606,230.52074816255455,200.1566619873047,166.44929331812668,416.338924878996,145.41496741616962,361.663330078125,227.59066623449652,197.5,163.7478634020775,410.0700472388293,139.30005746454773,337.86667887369794,228.16141858875733,198.59333292643228,165.20145972734352,411.44581881126834,144.57520172546165,347.44000244140625,55496466.66666667,34582433.333333336,36781500.0,25773433.333333332,272584766.6666667,91390766.66666667,361,361,361,361,361,361
2024-11-24,230.8260243733724,200.00666300455728,165.95479329427084,415.90796915690106,137.95710245768228,343.2466634114583,231.3602800251612,201.05332946777344,167.16944801640145,417.5588808762785,143.71212000081394,361.7966613769531,228.14814353226961,198.25,164.31536087424973,411.32647485560915,137.54056033485395,338.03334554036456,229.2896482407912,198.9366658528646,165.28110314430083,413.7697145295696,143.2622469778121,353.7900085449219,72824633.33333334,37634066.666666664,34958400.0,26732266.666666668,308763333.3333333,93640833.33333333,360,360,360,360,360,360
2024-11-25,231.82151794433594,201.4499969482422,166.9138946533203,416.5013732910156,135.9810028076172,338.5899963378906,232.19981188776785,201.9499969482422,167.88960271467622,418.778836873561,142.0092725854583,361.92999267578125,228.70562083004268,199.0,164.88285834642193,412.58290247238904,135.78106320516017,338.20001220703125,230.41787789282506,199.27999877929688,165.36074656125817,416.09361024787086,141.9492922301626,360.1400146484375,90152800.0,40685700.0,33135300.0,27691100.0,344941900.0,95890900.0,359,359,359,359,359,359
2024-11-26,234.0016632080078,207.86000061035156,168.37744140625,425.6510925292969,136.88075256347656,338.2300109863281,234.50937670519198,208.0,169.07438007569232,426.69537265560376,139.26007526155422,346.9599914550781,232.27945661483375,201.7899932861328,166.84420975542025,416.5610569682543,135.63111085304342,335.6600036621094,232.27945661483375,201.89999389648438,166.8939932592079,417.29700327286355,137.66052777043362,341.0,45986200.0,41673700.0,20486700.0,23458900.0,190287700.0,62295900.0,358,358,358,358,358,358
